Time (s),Mass Flow Rate Fuel (lb/s),OF Ratio,C* (ft/s),Gamma,Chamber Pressure (psi),Cf0,Thrust Coefficient,Thrust (lbf),Isp (s),Burn Rate (ft/s),Port Radius (in)
48.6,0.009601112643321237,2.485348043044097,5770.600644161151,1.1280376006386026,10.18870615688045,1.299441495878316,1.3609900370124146,282.49065436215693,20.341181000468136,0.000661042521830803,0.2797663509118371
48.7,0.00959833277221438,2.486067850054262,5770.367405860941,1.1280215947397902,10.187447979513022,1.2994441255155125,1.3610002680608388,282.45789363185304,20.340511748734183,0.0006612552666509264,0.27983245516402017
48.800000000000004,0.009595558946252318,2.486786507464899,5770.134437104398,1.1280056437486623,10.18619218684474,1.2994467463324932,1.3610104777541217,282.425194064474,20.339843115640935,0.0006614680981415334,0.27989858069068524
48.900000000000006,0.00959279114093652,2.487504019272828,5769.90173749851,1.1279897474064824,10.184938770382326,1.29944935836972,1.3610206661741024,282.39255544463845,20.33917510108607,0.0006616810163453496,0.2799647275004994
49.0,0.009590029331913578,2.4882203894534873,5769.669306649666,1.1279739054561566,10.18368772167755,1.2994519616674034,1.3610308334021601,282.3599775580972,20.338507704957934,0.0006618940213051244,0.2800308956021339
49.1,0.009587273494974072,2.4889356219610903,5769.437144163654,1.1279581176422222,10.182439032326897,1.2994545562655033,1.361040979519215,282.327460191724,20.337840927135566,0.0006621071130636331,0.2800970850042644
49.2,0.009584523606051444,2.489649720728779,5769.205249645696,1.1279423837108307,10.181192693971262,1.2994571422037386,1.3610511046057403,282.29500313351,20.33717476748902,0.0006623202916636752,0.28016329571557075
49.300000000000004,0.009581779641220905,2.4903626896687716,5768.973622700468,1.127926703409738,10.179948698295641,1.299459719521579,1.3610612087417546,282.2626061725539,20.3365092258793,0.000662533557148075,0.28022952774473714
49.400000000000006,0.00957904157669832,2.491074532672516,5768.742262932129,1.1279110764882905,10.17870703702884,1.2994622882582554,1.3610712920068346,282.23026909905633,20.335844302158673,0.0006627469095596816,0.28029578110045195
49.5,0.009576309388839134,2.491785253610838,5768.511169944322,1.127895502697412,10.177467701943119,1.2994648484527531,1.3610813544801093,282.1979917043093,20.33517999617057,0.0006629603489413688,0.28036205579140794
49.6,0.009573583054137287,2.4924948563340874,5768.280343340207,1.127879981789591,10.176230684853913,1.2994674001438284,1.3610913962402773,282.1657737806921,20.33451630774998,0.0006631738753360354,0.2804283518263021
49.7,0.009570862549224152,2.493203344672285,5768.049782722476,1.1278645135188685,10.174995977619535,1.2994699433699883,1.361101417365589,282.13361512165943,20.333853236723233,0.0006633874887866048,0.2804946692138357
49.800000000000004,0.00956814785086748,2.4939107224352677,5767.819487693386,1.1278490976408269,10.173763572140887,1.2994724781695133,1.3611114179338701,282.1015155217385,20.33319078290845,0.0006636011893360255,0.2805610079627144
49.900000000000006,0.009565438935970342,2.4946169934128317,5767.589457854755,1.1278337339125735,10.172533460361123,1.2994750045804506,1.3611213980225163,282.06947477651903,20.332528946115488,0.0006638149770272708,0.280627368081648
50.0,0.00956273578157011,2.4953221613748737,5767.359692807995,1.127818422092734,10.171305634265382,1.2994775226406097,1.36113135770849,282.03749268264477,20.331867726145987,0.0006640288519033388,0.2806937495793507
50.1,0.009560038364837422,2.4960262300715326,5767.130192154127,1.1278031619414366,10.170080085880496,1.299480032387579,1.3611412970683388,282.00556903780983,20.331207122793696,0.0006642428140072524,0.28076015246454106
50.2,0.009557346663075159,2.4967292032333304,5766.900955493818,1.1277879532203006,10.168856807274723,1.2994825338587133,1.3611512161781827,281.9737036407488,20.33054713584443,0.0006644568633820601,0.2808265767459418
50.300000000000004,0.009554660653717446,2.4974310845713084,5766.6719824273505,1.127772795692426,10.167635790557377,1.2994850270911444,1.3611611151137293,281.9418962912295,20.329887765076176,0.0006646710000708339,0.28089302243228
50.400000000000006,0.009551980314328653,2.498131877777167,5766.443272554693,1.12775768912238,10.16641702787864,1.299487512121778,1.3611709939502676,281.91014679004695,20.329229010259272,0.0006648852241166724,0.28095948953228705
50.5,0.009549305622602408,2.498831586523397,5766.214825475489,1.127742633276187,10.165200511429235,1.2994899889873002,1.3611808527626799,281.8784549390166,20.328570871156522,0.0006650995355626981,0.2810259780546987
50.6,0.009546636556360613,2.4995302144634204,5765.986640789085,1.1277276279213164,10.163986233440154,1.2994924577241724,1.3611906916254346,281.84682054096584,20.327913347523207,0.0006653139344520591,0.281092488008255
50.7,0.009543973093552476,2.50022776523172,5765.758718094535,1.127712672826671,10.16277418618236,1.2994949183686388,1.3612005106125977,281.8152433997281,20.32725643910727,0.0006655284208279277,0.2811590194017002
50.800000000000004,0.009541315212253551,2.5009242424439733,5765.531056990631,1.1276977677625764,10.161564361966557,1.2994973709567263,1.3612103097978319,281.7837233201362,20.32660014564941,0.000665742994733502,0.281225572243783
50.900000000000006,0.009538662890664793,2.501619649697182,5765.303657075924,1.1276829125007686,10.160356753142889,1.2994998155242503,1.3612200892544046,281.75226010801623,20.325944466883282,0.000665957656212005,0.28129214654325635
51.0,0.0095360161071116,2.5023139905698053,5765.076517948694,1.1276681068143848,10.159151352100624,1.299502252106801,1.3612298490551753,281.72085357017613,20.325289402535187,0.0006661724053066842,0.28135874230887753
51.1,0.009533374840042892,2.5030072686218863,5764.849639207049,1.1276533504779511,10.157948151268018,1.299504680739768,1.3612395892726217,281.68950351440736,20.32463495232485,0.0006663872420608129,0.28142535954940817
51.2,0.009530739068030177,2.50369948739518,5764.623020448856,1.127638643267372,10.156747143111897,1.2995071014583228,1.361249309978822,281.6582097494701,20.323981115964873,0.0006666021665176889,0.28149199827361426
51.300000000000004,0.009528108769766641,2.5043906504132813,5764.396661271804,1.1276239849599201,10.155548320137484,1.2995095142974313,1.3612590112454712,281.62697208509155,20.32332789316123,0.0006668171787206355,0.281558658490266
51.400000000000006,0.00952548392406624,2.505080761181749,5764.1705612734195,1.1276093753342247,10.154351674888142,1.2995119192918503,1.3612686931438756,281.5957903319582,20.32267528361323,0.0006670322787130008,0.28162534020813806
51.5,0.009522864509862786,2.5057698231882326,5763.944720051055,1.1275948141702612,10.153157199945053,1.2995143164761291,1.3612783557449581,281.56466430170804,20.322023287013554,0.0006672474665381584,0.28169204343600934
51.6,0.009520250506209079,2.5064578399025925,5763.719137201939,1.1275803012493428,10.151964887927042,1.2995167058846162,1.361287999119265,281.5335938069271,20.321371903048544,0.0006674627422395068,0.28175876818266316
51.7,0.009517641892276002,2.5071448147770248,5763.493812323138,1.1275658363541066,10.150774731490227,1.299519087551454,1.361297623336962,281.50257866113935,20.320721131398017,0.0006676781058604695,0.2818255144568871
51.800000000000004,0.009515038647351657,2.507830751246183,5763.268745011637,1.1275514192685068,10.14958672332787,1.299521461510585,1.3613072284678416,281.47161867880385,20.320070971735632,0.0006678935574444956,0.28189228226747315
51.900000000000006,0.009512440750840493,2.5085156527272963,5763.043934864295,1.1275370497778017,10.148400856170039,1.29952382779575,1.3613168145813217,281.4407136753056,20.31942142372874,0.0006681090970350592,0.2819590716232176
52.0,0.009509848182262451,2.5091995226202894,5762.819381477902,1.127522727668546,10.147217122783436,1.2995261864404943,1.3613263817464545,281.4098634669524,20.31877248703873,0.0006683247246756594,0.2820258825329211
52.1,0.009507260921252113,2.5098823643079013,5762.595084449151,1.1275084527285801,10.146035515971061,1.299528537478162,1.3613359300319205,281.3790678709649,20.318124161320792,0.0006685404404098209,0.2820927150053887
52.2,0.009504678947557845,2.5105641811558037,5762.371043374709,1.1274942247470185,10.144856028572098,1.2995308809419068,1.361345459506041,281.34832670547564,20.31747644622442,0.0006687562442810936,0.2821595690494297
52.300000000000004,0.009502102241040988,2.5112449765127125,5762.147257851152,1.1274800435142434,10.143678653461505,1.2995332168646885,1.3613549702367753,281.31763978951756,20.31682934139309,0.0006689721363330522,0.28222644467385777
52.400000000000006,0.009499530781674993,2.5119247537105105,5761.923727475053,1.127465908821892,10.142503383549931,1.299535545279265,1.3613644622917147,281.2870069430205,20.31618284646451,0.0006691881166092971,0.28229334188749106
52.5,0.009496964549544637,2.512603516064353,5761.700451842954,1.127451820462848,10.141330211783394,1.2995378662182149,1.361373935738105,281.25642798680707,20.315536961070862,0.0006694041851534543,0.282360260699152
52.6,0.009494403524845187,2.5132812668727875,5761.47743055138,1.1274377782312337,10.140159131143053,1.2995401797139197,1.3613833906428303,281.22590274258306,20.31489168483859,0.0006696203420091743,0.28242720111766734
52.7,0.009491847687881595,2.513958009417864,5761.254663196864,1.1274237819223971,10.138990134644994,1.299542485798576,1.361392827072427,281.19543103293466,20.31424701738871,0.0006698365872201339,0.28249416315186826
52.800000000000004,0.00948929701906771,2.5146337469652456,5761.0321493759575,1.1274098313329062,10.13782321533999,1.2995447845041932,1.3614022450930805,281.1650126813211,20.313602958336812,0.0006700529208300342,0.28256114681059025
52.900000000000006,0.00948675149892548,2.515308482764318,5760.8098886852285,1.1273959262605366,10.13665836631327,1.2995470758625944,1.3614116447706297,281.13464751206925,20.312959507293098,0.0006702693428826025,0.2826281521026732
